student,chapter,attempt,total,correct,accuracy,weak_concepts,time_sec
Abdullah,1,1,10,9,90.44703778396791,,54.30696674751897
Abdullah,1,2,10,9,87.4908482584139,,76.45248536920208
Abdullah,2,1,10,8,82.7373759568025,Decimals_Round,48.77258780737463
Abdullah,2,2,10,9,85.65221169406328,,54.68570231944147
Abdullah,3,1,10,9,87.40527646475459,,61.2915145147914
Abdullah,3,2,10,9,88.63721939125811,,83.3154578941683
Abdullah,4,1,10,9,89.19341788644451,,46.03143329951619
Abdullah,4,2,10,9,92.90081225268474,,83.77284208975874
Abdullah,5,1,10,9,90.12033576481736,,82.11712188101286
Abdullah,5,2,10,10,96.16522922040224,,71.36244860256343
Abdulaziz,1,1,10,9,90.43294293156366,,55.938321319093816
Abdulaziz,1,2,10,8,82.69746342078464,Fractions_Equivalent,55.238403670554874
Abdulaziz,2,1,10,9,93.10253398639652,,41.47118667759916
Abdulaziz,2,2,10,10,95.08684013538986,,67.974368775203
Abdulaziz,3,1,10,8,80.88407233417081,Percent_Change,63.922950235147056
Abdulaziz,3,2,10,9,94.91149894619488,,59.71850269763874
Abdulaziz,4,1,10,9,94.75282413805334,,43.96828951890079
Abdulaziz,4,2,10,10,96.84134784243436,,68.45018657150976
Abdulaziz,5,1,10,8,82.48906826310431,Algebra_Variables,79.04989689999786
Abdulaziz,5,2,10,8,82.76847681583119,Solve_for_x,70.23456728668586
Fahad,1,1,10,9,90.2576467982742,,50.29358611311916
Fahad,1,2,10,10,95.90563780811053,,61.6552839138521
Fahad,2,1,10,9,92.61917326682357,,72.7762959717187
Fahad,2,2,10,10,95.3253845011377,,69.61957888152463
Fahad,3,1,10,9,94.48546464100136,,44.52549385531785
Fahad,3,2,10,9,89.88804372086142,,88.96801711957795
Fahad,4,1,10,9,90.1929543254788,,42.69074979462708
Fahad,4,2,10,9,89.93914058644769,,48.617131381046896
Fahad,5,1,10,9,87.3726595916229,,81.0071019259615
Fahad,5,2,10,10,95.0011213468915,,66.41027630355558
Faisal,1,1,10,8,81.15834091943184,Fractions_Decimal,49.090576492961034
Faisal,1,2,10,10,96.35687901866518,,69.1007663933539
Faisal,2,1,10,9,88.45784813087805,,46.62868702279865
Faisal,2,2,10,9,93.91408101096567,,60.05929625119147
Faisal,3,1,10,8,84.45096946865884,Percent_ToFraction,59.678187007530255
Faisal,3,2,10,10,95.16378232361814,,57.64961852077757
