student,chapter,attempt,concept,correct,total,accuracy
Abdullah,1,1,Fractions_Represent,1,1,92.71086576838387
Abdullah,1,1,Fractions_Equivalent,1,1,78.3966800726232
Abdullah,1,1,Fractions_Compare,1,1,85.81823576821964
Abdullah,1,1,Fractions_Decimal,1,1,100.0
Abdullah,1,1,Fractions_Simplify,1,1,71.03360383682333
Abdullah,1,2,Fractions_Represent,1,1,84.0595472275645
Abdullah,1,2,Fractions_Equivalent,1,1,82.05975904543747
Abdullah,1,2,Fractions_Compare,1,1,86.73317650691878
Abdullah,1,2,Fractions_Decimal,1,1,99.42196526740821
Abdullah,1,2,Fractions_Simplify,1,1,82.37963228493669
Abdullah,2,1,Decimals_PlaceValue,1,1,86.46253400316787
Abdullah,2,1,Decimals_Compare,1,1,88.53669776025264
Abdullah,2,1,Decimals_Operations,1,1,94.7039881608599
Abdullah,2,1,Decimals_ToFraction,1,1,88.71002069210836
Abdullah,2,1,Decimals_Round,1,1,73.92949391670666
Abdullah,2,2,Decimals_PlaceValue,1,1,74.36980206225735
Abdullah,2,2,Decimals_Compare,1,1,79.6636622451708
Abdullah,2,2,Decimals_Operations,1,1,87.57514989836821
Abdullah,2,2,Decimals_ToFraction,1,1,70.80711196783389
Abdullah,2,2,Decimals_Round,1,1,71.41657326383276
Abdullah,3,1,Percent_Basics,1,1,81.83742705874567
Abdullah,3,1,Percent_ToFraction,1,1,73.21220398715157
Abdullah,3,1,Percent_WordProblems,1,1,100.0
Abdullah,3,1,Percent_OfQuantity,1,1,87.68522113875672
Abdullah,3,1,Percent_Change,1,1,84.64814294532185
Abdullah,3,2,Percent_Basics,1,1,82.83696105525635
Abdullah,3,2,Percent_ToFraction,1,1,87.73397654301364
Abdullah,3,2,Percent_WordProblems,1,1,75.35165311735393
Abdullah,3,2,Percent_OfQuantity,1,1,88.74552778430944
Abdullah,3,2,Percent_Change,1,1,91.33621237193321
Abdullah,4,1,Ratio_Basics,1,1,92.16023650004868
Abdullah,4,1,Ratio_Simplify,1,1,98.58787504704223
Abdullah,4,1,Proportion,1,1,72.9350780356343
Abdullah,4,1,Ratio_WordProblems,1,1,93.85348422562605
Abdullah,4,1,Rate,1,1,83.42401150346694
Abdullah,4,2,Ratio_Basics,1,1,79.2814234495486
Abdullah,4,2,Ratio_Simplify,1,1,100.0
Abdullah,4,2,Proportion,1,1,93.92287377350222
Abdullah,4,2,Ratio_WordProblems,1,1,100.0
Abdullah,4,2,Rate,1,1,100.0
Abdullah,5,1,Algebra_Variables,1,1,91.12065302827963
Abdullah,5,1,Algebra_Equations,1,1,88.53912840833397
Abdullah,5,1,Algebra_Substitution,1,1,84.29605640872515
Abdullah,5,1,Algebra_Expressions,1,1,85.23782841278397
Abdullah,5,1,Solve_for_x,1,1,83.13594400160923
Abdullah,5,2,Algebra_Variables,1,1,97.41698149541732
Abdullah,5,2,Algebra_Equations,1,1,100.0
Abdullah,5,2,Algebra_Substitution,1,1,100.0
Abdullah,5,2,Algebra_Expressions,1,1,94.2765136229014
Abdullah,5,2,Solve_for_x,1,1,94.30857457569034
